name
Aahan
Aditi
Adri
Candra
Carma
Chaitra
Chan
Chandara
Dhana
Divyanshu
Jay
Kahlima
Kama
Kannan
Kashmir
Kiran
Layla
Leela
Muskan
Nalini
Opal
Ram
Rohan
Roshan
Roshin
Star
Taj
Upala
Viraj
Yogi
