name
Abraham
Achim
Adam
Adel
Adolf
Adrian
Albert
Albrecht
Alexander
Alfred
Alois
Alvin
Alwin
Andreas
Ansgar
Anton
Armin
Arndt
Arno
Arnold
Arnulf
Artur
August
Aurick
Axel
Baldur
Bastian
Beat
Benedict
Bernd
Bernhard
Bertram
Bjorn
Bodo
Bonifaz
Bruno
Calvin
Carl
Christian
Christof
Christoph
Clemens
Conrad
Dagobert
Daniel
Darryl
David
Delbert
Derek
Detlef
Diederich
Diedrich
Diepold
Dieter
Dieterich
Dietrich
Dirk
Donald
Dustin
Edmund
Egbert
Egon
Ehren
Eike
Eilhard
Ekkehard
Elias
Elimar
Elmar
Emil
Emmerich
Engelbert
Erhard
Eric
Ewald
Felix
Ferdinand
Florian
Frank
Franz
Frederick
Fredrik
Friedemann
Friedrich
Fritz
Gabriel
Garibald
Gebhard
Georg
Gerald
Gerard
Gerd
Gerhard
Gerhardt
Germar
Gernot
Gert
Gerwin
Gilbert
Giselher
Gottfried
Gottlieb
Gottschalk
Götz
Guido
Gunther
Günther
Gustav
Hanno
Hans
Hansjörg
Harald
Harold
Hauke
Heiko
Heiner
Heini
Heino
Heinrich
Heinz
Helge
Hellmuth
Helmut
Helmuth
Henning
Herbert
Herman
Hermann
Herwig
Hjalmar
Holger
Horst
Hubert
Hubertus
Hugo
Ignatz
Ingo
Jack
Jacob
Jan
Jannik
Jasper
Jerome
Joachim
Joachim-Friedrich
Johann
Johannes
Jonas
Jonathan
Jörg
Joseph
Jost
Julius
Jupp
Jürgen
Karl
Karl-Heinz
Karlheinz
Karsten
Kaspar
Kepler
Killian
Klaus
Klaus-Peter
Konrad
Kurd
Kurt
Ladislaus
Lars
Leopold
Levin
Linus
Lorentz
Lothar
Ludger
Ludolf
Ludwig
Luitpold
Lukas
Luther
Lütold
Lutz
Magnus
Malte
Manuel
Marcus
Marius
Martin
Matthias
Maximilian
Medard
Meinrad
Melvin
Michael
Michel
Milo
Mirco
Mirko
Moritz
Nico
Nicolas
Nicolaus
Nivaldo
Norbert
Norman
Olaf
Oliver
Orlando
Oscar
Oswald
Othmar
Otto
Ottomar
Pascal
Patrick
Paul
Peter
Philip
Philipp
Rainer
Ralph
Randall
Reinhard
Reinhardt
Reinhold
Robert
Robin
Roger
Roland
Rolf
Roman
Ronald
Rudolph
Ruprecht
Samuel
Sander
Sepp
Severin
Siegfried
Sigismund
Sigmund
Simon
Stefan
Stephen
Sven
Sylvester
Thaddeus
Theobald
Theodor
Thomas
Timo
Tobias
Tom
Traugott
Udo
Ulrich
Urban
Utto
Uwe
Valentin
Valter
Vincenz
Vinzenz
Vollrath
Waldo
Walter
Walther
Wenzel
Werner
Wernher
Wilfried
Wilhelm
William
Winfried
Wolf
Wolfgang
Wolfram
Xavier
